# slide-36
# source: VLM caption (slide-36.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 347
# latency_s: 4.80
# est_cost_usd: 0.00033550
1.  **Весь видимый текст:**
    *   Заголовок: Маркетинг-команда: живая база знаний
    *   Подзаголовок (левая часть): ПРОШЛИ И ЗАБЫЛИ
    *   Подзаголовок (правая часть): ЖИВАЯ БАЗА
    *   Подпись к элементу на правой диаграмме: LOCAL (personal prompts folder)
    *   Подпись к элементу на правой диаграмме: TEAM repo
    *   Подпись к нижней части левой иллюстрации: Тренинг прошёл → знания испарились
    *   Подпись к нижней части правой иллюстрации: Каждый вклад — остаётся навсегда
    *   Нижний текст: Не «прошли и забыли» — промпты · шаблоны · подходы пополняют базу
    *   Нижний левый текст: LLMSTART.RU · Маркетинг-команда
    *   Номер страницы: 36

2.  **Числа и проценты:**
    *   36

3.  **Визуальная структура:**
    Слайд разделен на две части. Левая часть представляет собой иллюстрацию, изображающую человека, работающего за компьютером, с падающими книгами и облачками диалогов, символизирующими забытые знания. Правая часть — это цветная иллюстрация, изображающая дерево знаний с элементами "LOCAL (personal prompts folder)" и "TEAM repo", символизирующая живую базу знаний. Внизу слайда расположены текстовые блоки, обобщающие концепцию.
