# slide-08
# source: VLM caption (slide-08.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 291
# latency_s: 4.31
# est_cost_usd: 0.00031310
1.  **Весь видимый текст:**
    *   Заголовок: МАКСИМАЛЬНЫЙ СПРОС — НА ТЕБЯ
    *   Подзаголовок: если ты отраслевой AI-специалист
    *   Крупный текст: 50%
    *   Текст под крупным числом: начинающих специалистов исчезнут с рынка труда
    *   Текст под предыдущим: за 1–5 лет
    *   Подпись: Dario Amodei, CEO Anthropic
    *   Логотип/URL: LLMSTART.RU
    *   Номер страницы: 8
    *   Текст в облачке: AI

2.  **Числа и проценты:**
    *   50%
    *   1–5

3.  **Визуальная структура:**
    Слайд представляет собой композицию из двух частей, разделенных трещиной с энергетическим разрядом. Левая часть содержит крупное число и текст, иллюстрирующий негативный прогноз для начинающих специалистов. Правая часть содержит заголовок, подзаголовок и изображение человека, окруженного свечением и облачком с надписью "AI", что символизирует высокий спрос на AI-специалистов. Внизу слайда расположены URL и имя спикера.
