# slide-62
# source: VLM caption (slide-62.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 353
# latency_s: 4.24
# est_cost_usd: 0.00033790
1.  **Текст на слайде:**
    *   Заголовок: «ИИ-менеджеры по продажам»
    *   Подзаголовок: Интернет-магазин + SaaS-платформа
    *   Текст рядом с 100%: входящих запросов 24/7
    *   Текст рядом с -80%: расходов на ФОТ
    *   Текст рядом с 1000: диалогов/день против 20-30 у человека
    *   Текст в нижней темной полосе: 1 ИИ-менеджер = 1000 диалогов в день
    *   Подписи к диаграмме: Квалификация, Заказ, Ответ
    *   Нижний колонтитул: LLMSTART.RU · ИИ-менеджеры по продажам
    *   Номер слайда: 62

2.  **Числа и проценты:**
    *   100%
    *   24/7
    *   -80%
    *   1000
    *   20-30
    *   1
    *   1000
    *   62

3.  **Визуальная структура:**
    Слайд содержит статистические данные, представленные в виде крупных чисел с пояснениями, и иллюстрацию в виде робота с множеством рук, взаимодействующего с чат-пузырями, с указанием его функций. Также присутствует нижняя полоса с ключевым выводом и нижний колонтитул.
