# slide-14
# source: VLM caption (slide-14.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 218
# latency_s: 4.00
# est_cost_usd: 0.00028390
1.  **Весь видимый текст:**
    *   ГОНКА УЖЕ НАЧАЛАСЬ
    *   ХАОТИЧНЫЙ
    *   пробует
    *   всё подряд
    *   СИСТЕМНЫЙ
    *   Победит не громкий — а системный
    *   LLMSTART.RU
    *   14

2.  **Числа и проценты:**
    *   14

3.  **Визуальная структура:**
    Слайд представляет собой иллюстрацию, разделенную на две части, сравнивающие два подхода: "Хаотичный" и "Системный". Левая часть изображает человека в состоянии замешательства, окруженного множеством иконок и стрелок, символизирующих хаос. Правая часть показывает человека, бегущего в направлении блок-схемы, символизирующей системный подход. Внизу слайда расположен заголовок и логотип с номером страницы.
