# slide-20
# source: VLM caption (slide-20.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 327
# latency_s: 3.86
# est_cost_usd: 0.00032750
1.  **Весь видимый текст:**
    *   Заголовок: Бизнес как медиа
    *   Подзаголовок: Один вебинар — три продукта за минуты
    *   Текст в блоке 1: Транскрипция + таймкоды
    *   Текст в блоке 2: 3 поста в соцсети
    *   Текст в блоке 3: Товарное фото без фотосессии
    *   Текст в блоке 4: Структура презентации
    *   Текст под центральной иконкой: Вебинар
    *   Подписи к иконкам под вебинаром: Midjourney, NotebookLM, Claude
    *   Нижняя строка: Часовой вебинар → транскрипция + таймкоды + 3 поста
    *   Нижний левый угол: LLMSTART.RU
    *   Нижний правый угол: 20

2.  **Числа и проценты:**
    *   3
    *   3
    *   20

3.  **Визуальная структура:**
    Слайд представляет собой схему, где центральным элементом является иконка вебинара, от которой стрелками расходятся блоки с описанием продуктов, получаемых из вебинара. Внизу схемы расположены логотипы инструментов, а также текстовая строка, суммирующая процесс. Внизу слайда есть адрес сайта и номер страницы.
