# slide-64
# source: VLM caption (slide-64.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 237
# latency_s: 3.89
# est_cost_usd: 0.00029150
1.  **Весь видимый текст:**
    *   Заголовок: Три способа двигаться вперёд
    *   Заголовок блока 1: Тренинги и курсы
    *   Подписи к блоку 1: AI-трансформация · AI-driven разработка · Агенты
    *   Заголовок блока 2: Трансформация и внедрение
    *   Подписи к блоку 2: Стратегия · Аудит · Дорожная карта
    *   Заголовок блока 3: Разработка под ключ
    *   Подписи к блоку 3: Агенты · Ассистенты · Production-решения
    *   Логотип: LLMSTART.RU
    *   Номер страницы: 64

2.  **Все числа и проценты:**
    *   64

3.  **Визуальная структура:**
    Слайд представляет собой три вертикальных блока, каждый из которых содержит заголовок, иконку и подписи. Это визуальное представление трех различных направлений или способов.
