# slide-43
# source: VLM caption (slide-43.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 360
# latency_s: 4.97
# est_cost_usd: 0.00034070
1.  **Текст на слайде:**
    *   **Заголовок:** ЧТО НУЖНО ЗНАТЬ И УМЕТЬ
    *   **Подзаголовок:** 5 ключевых тем • Выберите формат
    *   **Блоки тем:**
        *   1: Al-driven разработка, Методология
        *   2: Промпт- инжиниринг, Точность, цепочки
        *   3: RAG, Поиск по знаниям
        *   4: Агенты, Автономные агенты
        *   5: Качество, Тестирование
    *   **Форматы:** ФОРМАТЫ:
        *   1 ДЕНЬ + Интенсив
        *   1 НЕДЕЛЯ + Углублённый
        *   1 МЕСЯЦ + Полный курс
    *   **Нижний колонтитул:** LLMSTART.RU, LLMSTART.RU, 43

2.  **Числа и проценты:**
    *   1
    *   2
    *   3
    *   4
    *   5
    *   1 ДЕНЬ
    *   1 НЕДЕЛЯ
    *   1 МЕСЯЦ
    *   43

3.  **Визуальная структура:**
    Слайд представляет собой схему, состоящую из пяти последовательных блоков, каждый из которых описывает одну из ключевых тем. Под схемой расположены варианты форматов обучения, представленные в виде кнопок. Внизу слайда указан веб-сайт и номер страницы.
