# slide-52
# source: VLM caption (slide-52.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 285
# latency_s: 6.28
# est_cost_usd: 0.00031070
1.  **Текст на слайде:**
    *   Заголовок: ИИ-ассистенты с поиском по базе знаний
    *   Подзаголовок: Когда ИИ знает всё — сотрудник отвечает мгновенно
    *   Подпись к левой части изображения: «Раньше: минуты поиска
    *   Подпись к правой части изображения: Сейчас: 1 секунда
    *   Нижний заголовок: Ассистент или замена? — оба варианта работают
    *   Подпись внизу слева: LLMSTART.RU
    *   Цифра в кружке внизу справа: 52

2.  **Числа и проценты:**
    *   1 секунда

3.  **Визуальная структура:**
    Слайд представляет собой иллюстрацию, разделенную на две части, сравнивающие два сценария. Левая часть изображает человека, заваленного бумагами, с выражением стресса на лице, под надписью "Раньше: минуты поиска". Правая часть показывает человека, спокойно сидящего за компьютером со смартфоном в руке, от которого исходит луч света к светящемуся шару, под надписью "Сейчас: 1 секунда". Внизу слайда расположен общий заголовок и логотип сайта.
