# slide-30
# source: VLM caption (slide-30.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 236
# latency_s: 4.21
# est_cost_usd: 0.00029110
1.  **Весь видимый текст:**
    *   Кейс: Хакатон
    *   СТАРТ: хаос
    *   ПОСЛЕ: лидеры видны
    *   50 человек · производственная компания
    *   Приверженцы видны сразу
    *   LLMSTART.RU · Производственная компания
    *   30

2.  **Числа и проценты:**
    *   50

3.  **Визуальная структура:**
    Слайд разделен на две части, демонстрирующие контраст между состоянием "СТАРТ: хаос" и "ПОСЛЕ: лидеры видны". Левая часть содержит схематичное изображение группы людей с хаотично направленными стрелками, символизирующими хаос. Правая часть представляет собой сетевую диаграмму, где центральные узлы (лидеры) выделены ярким свечением и соединены с другими узлами, показывая организованную структуру. Внизу слайда расположена строка с названием сайта, типом компании и номером страницы.
