# slide-27
# source: VLM caption (slide-27.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 272
# latency_s: 3.80
# est_cost_usd: 0.00030550
1.  **Весь видимый текст:**
    *   Новое мышление про найм
    *   Кандидат без ИИ
    *   VS
    *   Кандидат с ИИ
    *   одна голова · одни руки · 8 часов
    *   ×10 возможностей · команда агентов
    *   Кандидат без ИИ — уже не тот кандидат
    *   Нанять человека или закрыть задачу ИИ?
    *   LLMSTART.RU
    *   27

2.  **Числа и проценты:**
    *   8
    *   ×10
    *   27

3.  **Визуальная структура:**
    Слайд представляет собой сравнение двух концепций ("Кандидат без ИИ" и "Кандидат с ИИ") с использованием иллюстраций и текстовых описаний. В центре находится крупная надпись "VS", разделяющая две части слайда. Под каждой иллюстрацией расположены краткие текстовые характеристики. В нижней части слайда находится обобщающий заголовок и подзаголовок. В левом нижнем углу указан веб-сайт, а в правом нижнем углу — номер страницы.
