# slide-17
# source: VLM caption (slide-17.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 227
# latency_s: 4.11
# est_cost_usd: 0.00028750
1.  **Весь видимый текст:**
    *   Учимся вождению, а не сборке автомобиля
    *   Ширина важнее глубины
    *   Сборка (не нужно)
    *   Вождение (вот что нужно)
    *   Каждую задачу — сначала через ИИ
    *   LLMSTART.RU
    *   17

2.  **Числа и проценты:**
    *   17

3.  **Визуальная структура:**
    Слайд разделен на две части. Левая часть содержит изображение двигателя с перечеркивающим крестом и подписью "Сборка (не нужно)". Правая часть содержит изображение рук на руле автомобиля, смотрящих на дорогу, с подписью "Вождение (вот что нужно)". Внизу слайда расположена горизонтальная полоса с текстом "Каждую задачу — сначала через ИИ" и логотипом "LLMSTART.RU", а также номер страницы "17". Это иллюстрация, сравнивающая два подхода.
