# slide-01
# source: VLM caption (slide-01.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 253
# latency_s: 9.79
# est_cost_usd: 0.00029790
1.  **Весь видимый текст:**
    *   LLMSTART.RU
    *   1. Первые шаги
    *   2. Свой рой агентов
    *   3. Масштабирование
    *   4. Запуск продуктов
    *   5. Промышленный уровень
    *   v1.0 BETA
    *   Дорожная карта AI-first трансформации бизнеса
    *   От первого знакомства с ИИ до production-ready систем
    *   Конференция 1С · 8 апреля 2026

2.  **Числа и проценты:**
    *   1.
    *   2.
    *   3.
    *   4.
    *   5.
    *   v1.0
    *   8

3.  **Визуальная структура:**
    Слайд содержит заголовок, подзаголовок, изображение человека, держащего свиток с пронумерованным списком этапов, и изображение робота. Также присутствует логотип и информация о конференции. Список на свитке можно рассматривать как схематическое представление дорожной карты.
