# slide-05
# source: VLM caption (slide-05.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 300
# latency_s: 4.35
# est_cost_usd: 0.00031670
1.  **Весь видимый текст:**
    *   ИНТЕЛЛЕКТ СТАЛ МАСШТАБИРУЕМЫМ РЕСУРСОМ
    *   БЫЛО
    *   DIGITAL LABOR
    *   СТАЛО
    *   FRONTIER FIRM
    *   AGENT BOSS
    *   Один человек — ограниченный ресурс
    *   Интеллект on demand
    *   Источник: Microsoft Work Trend Index 2025
    *   LLMSTART.RU
    *   5

2.  **Числа и проценты:**
    *   2025

3.  **Визуальная структура:**
    Слайд представляет собой сравнение "было" и "стало", визуализированное с помощью двух иллюстраций, разделенных большой оранжевой стрелкой. Левая часть показывает одинокого человека за ноутбуком, символизируя ограниченный ресурс. Правая часть демонстрирует схему, где человек открывает кран, из которого льется поток документов, а вокруг него расположены иконки с людьми, соединенные линиями и молниями, с подписями "DIGITAL LABOR", "FRONTIER FIRM", "AGENT BOSS", что символизирует масштабируемый ресурс "Интеллект on demand". Внизу слайда указан источник и веб-адрес.
