# slide-29
# source: VLM caption (slide-29.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 337
# latency_s: 5.79
# est_cost_usd: 0.00033150
1.  **Весь видимый текст:**
    *   Заголовок: Коттер: шаги 1+2
    *   Подзаголовок слева: Срочность
    *   Текст под подзаголовком слева: РИСКИ: не меняемся
    *   Текст под подзаголовком слева: ВОЗМОЖНОСТИ: меняемся
    *   Подпись к диаграмме слева: Срочность важна
    *   Подзаголовок справа: Коалиция приверженцев
    *   Подпись к диаграмме справа: AI Champions
    *   Подпись к диаграмме справа: Ранние последователи с влиянием
    *   Нижний текст: Без срочности — изменения воспринимаются как прихоть начальства
    *   Логотип: LLMSTART.RU
    *   Номер страницы: 29

2.  **Числа и проценты:**
    *   1+2
    *   29

3.  **Визуальная структура:**
    *   Слева: диаграмма в виде весов, иллюстрирующая баланс между рисками и возможностями.
    *   Справа: сетевая диаграмма, показывающая связи между людьми (иконки с человечками), с выделенными центральными фигурами.
    *   Внизу: текстовая строка.
    *   В верхнем правом углу: номер страницы.
    *   В нижнем левом углу: логотип.
