# slide-34
# source: VLM caption (slide-34.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 281
# latency_s: 4.50
# est_cost_usd: 0.00030910
1.  **Весь видимый текст:**
    *   Коттер: шаг 4 — Коммуникация
    *   Руководитель с Видением
    *   "Не объявление — живой пример каждую неделю"
    *   Urgency рвение
    *   Примеры из практики
    *   Тренинги по задачам
    *   Закрепление в процессах
    *   Повторять · Показывать · Связывать с работой → Корпоративная база практик
    *   LLMSTART.RU
    *   34

2.  **Числа и проценты:**
    *   4
    *   34

3.  **Визуальная структура:**
    Слайд представляет собой схему, иллюстрирующую концепцию "Коммуникация" в рамках шагов Коттера. В центре находится фигура "Руководитель с Видением", от которой расходятся концентрические круги, символизирующие распространение информации. Вокруг центральной фигуры расположены иконки и группы людей, взаимодействующих с компьютерами, что иллюстрирует различные аспекты коммуникации, такие как примеры из практики, тренинги и закрепление в процессах. В нижней части слайда находится текстовая строка с ключевыми действиями.
