# slide-21
# source: VLM caption (slide-21.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 227
# latency_s: 5.00
# est_cost_usd: 0.00028750
1.  **Весь видимый текст:**
    *   Ступень 2: Систематизация
    *   Пайплайны без кода · Ролевые ассистенты
    *   Навыки агента (Skills)
    *   Скрытое оружие
    *   Редактор
    *   создаёшь один раз — работает всегда
    *   Данные
    *   Ассистент
    *   Результат
    *   Код не нужен
    *   Аналитик
    *   создаёшь один раз — работает всегда
    *   Менеджер
    *   создаёшь один раз — работает всегда
    *   LLMSTART.RU
    *   21

2.  **Все числа и проценты:**
    *   21

3.  **Визуальная структура:**
    *   Слайд содержит блок-схему, иллюстрирующую процесс, и справа блок с перечислением навыков агента в виде карточек.
