# slide-56
# source: VLM caption (slide-56.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 440
# latency_s: 4.86
# est_cost_usd: 0.00037270
1.  **Весь видимый текст:**
    *   Заголовок: ИИ-ассистент главного агронома «Грунтик»
    *   Подзаголовок: ГК ПрогрессАгро · 5000+ сотрудников
    *   Текст в блоке 1: 100% качество на валидационном датасете
    *   Текст в блоке 2: 3-7х окупаемость за первый год
    *   Текст в блоке 3: >40% экономия времени главного агронома
    *   Текст в облачке диалога: Агрономст среканки фото, и папроции про телеграм.
    *   Текст над стрелкой: transcription/structuring → clean database
    *   Подпись к иконке микрофона: Голос
    *   Подпись к иконке камеры: Фото// текст
    *   Надпись на чипе: AI
    *   Заголовок таблицы 1: Report
    *   Надпись под стопкой документов: before
    *   Нижний колонтитул: LLMSTART.RU · ГК ПрогрессАгро
    *   Номер страницы: 56

2.  **Все числа и проценты:**
    *   5000+
    *   100%
    *   3-7х
    *   >40%
    *   56

3.  **Визуальная структура:**
    Слайд представляет собой комбинацию текстовых блоков с ключевыми показателями и иллюстративной схемы, демонстрирующей рабочий процесс. Слева расположены три вертикальных блока с крупными числами и пояснениями. Справа — схема, начинающаяся с агронома, использующего смартфон, и показывающая этапы обработки данных (голос, фото/текст) через ИИ-чип к базе данных и отчету. Внизу схемы есть надпись "before".
