# slide-18
# source: VLM caption (slide-18.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 427
# latency_s: 6.42
# est_cost_usd: 0.00036750
1.  **Весь видимый текст:**
    *   Заголовок: Кейсы Э1: ИИ как личный аналитик
    *   Подзаголовок: Один промпт — и данные оживают
    *   Текст в блоке 1: Excel / CRM данные
    *   Текст в блоке 1 (результат): Конверсия по когортам
    *   Текст в блоке 1 (уточнение): за один промпт
    *   Текст в блоке 2: Финансовые данные
    *   Текст в блоке 2 (результат): + Категоризация трат
    *   Текст в блоке 2 (уточнение): по статьям: маркетинг 32% · персонал 45%
    *   Текст в блоке 3: Deep Research: 5 часов гугления
    *   Текст в блоке 3 (результат): + Таблица конкурентов
    *   Текст в блоке 3 (уточнение): 12 компаний · 8 параметров
    *   Текст внизу слева: LLMSTART.RU
    *   Текст внизу справа: 18
    *   Подписи к иконкам моделей: Claude, ChatGPT, Perplexity

2.  **Числа и проценты:**
    *   32%
    *   45%
    *   5 часов
    *   12 компаний
    *   8 параметров
    *   18

3.  **Визуальная структура:**
    Слайд представляет собой схему, иллюстрирующую три кейса использования ИИ как личного аналитика. Каждый кейс представлен в виде блока с входными данными (слева) и результатом (справа), соединенными стрелками. Внизу слайда указан логотип сайта и названия моделей ИИ, а также номер страницы.
