# slide-24
# source: VLM caption (slide-24.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 239
# latency_s: 4.22
# est_cost_usd: 0.00029230
1.  **Весь видимый текст:**
    *   No-code автоматизация
    *   Пайплайны без участия человека
    *   Таблица идей
    *   ИИ обрабатывает
    *   Контент-завод: идея → публикация автоматически
    *   Telegram
    *   VK
    *   Email
    *   Бриф-форма
    *   AI
    *   Договор
    *   Письмо
    *   Встреча
    *   4 3 секунды
    *   n8n
    *   make
    *   zapier
    *   LLMSTART.RU
    *   24

2.  **Числа и проценты:**
    *   3
    *   24

3.  **Визуальная структура:**
    Слайд представляет собой блок-схему, иллюстрирующую процесс автоматизации. Блоки соединены стрелками, показывающими последовательность действий и потоки данных. В нижней части слайда расположены логотипы инструментов автоматизации.
