# slide-44
# source: VLM caption (slide-44.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 322
# latency_s: 4.27
# est_cost_usd: 0.00032550
1.  **Весь видимый текст:**
    *   КТО ЭТО ДЕЛАЕТ
    *   Психолог
    *   Адвокат
    *   Экономист
    *   QA Engineer
    *   Head of BI
    *   Senior .NET
    *   Маркетолог
    *   HR
    *   Предприниматель
    *   ОПЫТ В РАЗРАБОТКЕ
    *   БЕЗ КОДА
    *   Психологи, юристы, менеджеры
    *   СМЕШАННЫЙ
    *   Аналитики, маркетологи, BA
    *   ОПЫТНЫЕ
    *   Разработчики, архитекторы
    *   У каждого была своя боль. Теперь они её решили.
    *   LLMSTART.RU
    *   44

2.  **Числа и проценты:**
    *   24%
    *   52%
    *   24%
    *   44

3.  **Визуальная структура:**
    Слайд содержит два основных блока. Левый блок представляет собой сетку из иконок с подписями, изображающих различные профессии. Правый блок представляет собой вертикальный список с указанием опыта в разработке, сопровождаемый процентами и кратким описанием соответствующих профессий. Внизу слайда расположен заголовок и логотип сайта.
