# slide-46
# source: VLM caption (slide-46.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 457
# latency_s: 4.19
# est_cost_usd: 0.00037950
1.  **Весь видимый текст:**
    *   **Заголовок:** КЕЙСЫ ВЫПУСКНИКОВ: ДЛЯ СЕБЯ И ПРОДУКТЫ
    *   **Блок 1:**
        *   Тренажёр чтения
        *   для детей
        *   Родитель
        *   за несколько часов
        *   Интерактивные упражнения
        *   по возрасту
    *   **Блок 2:**
        *   Организатор
        *   голосовых заметок
        *   Менеджер
        *   Голос → структурированный
        *   текст
    *   **Блок 3:**
        *   Карьерный
        *   консультант
        *   HR-специалист
        *   Анализирует резюме
        *   и даёт советы
    *   **Блок 4:**
        *   Помощник
        *   путешественника
        *   Маркетолог
        *   Планирует маршруты
        *   под бюджет
    *   **Блок 5:**
        *   Трекер выгорания
        *   Психолог
        *   Мониторинг состояния
        *   и рекомендации
    *   **Блок 6:**
        *   Аналитик трендов
        *   Предприниматель
        *   Собирает и анализирует
        *   рыночные сигналы
    *   **Нижний колонтитул:** LLMSTART.RU · Кейсы выпускников
    *   **Номер страницы:** 46

2.  **Числа и проценты:**
    *   за несколько часов
    *   46

3.  **Визуальная структура:**
    Слайд представляет собой сетку из шести карточек (блоков), каждая из которых описывает отдельный кейс. В верхней части слайда расположен общий заголовок. В нижней части слайда находится адрес сайта и номер страницы.
