# slide-61
# source: VLM caption (slide-61.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 331
# latency_s: 4.57
# est_cost_usd: 0.00032910
1.  **Текст на слайде:**
    *   Заголовок: «Банковский ИИ-агент с RAG и агентной архитектурой»
    *   Подзаголовок: Коммерческий банк · закрытый контур
    *   Текст рядом с процентом: типовых операций без участия оператора
    *   Заголовок блока: 5 инструментов
    *   Список инструментов: поиск · вклады · переводы · формы · продукты
    *   Заголовок блока: Закрытый контур
    *   Описание: локальные модели, полный CI/CD + observability
    *   Нижний колонтитул: LLMSTART.RU · Коммерческий банк
    *   Текст на схеме (слева направо, сверху вниз):
        *   поиск
        *   вклады
        *   переводы СБП
        *   банк- клиент
        *   формы
        *   продукты
        *   AI агент
        *   оператор (только для краш случаев)

2.  **Числа и проценты:**
    *   60%
    *   5
    *   61

3.  **Визуальная структура:**
    Слайд представляет собой комбинацию текстовых блоков и диаграммы. Слева расположены текстовые блоки с заголовками, процентом, списком инструментов и описанием. Справа находится блок-схема, иллюстрирующая взаимодействие различных компонентов с центральным элементом "AI агент".
