# slide-35
# source: VLM caption (slide-35.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 347
# latency_s: 5.11
# est_cost_usd: 0.00033550
1.  **Текст на слайде:**
    *   Заголовок: Кейс: Разработчики ПО
    *   Подзаголовок: Барьер: стабильный повторяемый результат
    *   Раздел "ДО": ДО: разовые прототипы
    *   Текст в "облачках" слева: Unstable прототипы, Fuzzy, npototy, Unstable прото, Unstable прототипы, Fuzzy, fuzzy..., Disappear
    *   Раздел "ПОСЛЕ": ПОСЛЕ: система
    *   Нижний текст: 6 дней · все разработчики · новые процессы · кратный рост
    *   Подпись внизу слева: LLMSTART.RU · Компания-разработчик ПО
    *   Номер страницы: 35

2.  **Числа и проценты:**
    *   6

3.  **Визуальная структура:**
    Слайд представляет собой сравнение "ДО" и "ПОСЛЕ", разделенное вертикально. Левая часть ("ДО") содержит иллюстрацию разработчика, работающего за компьютером, окруженного "облачками" с текстом, символизирующими разрозненные и нестабильные прототипы. Правая часть ("ПОСЛЕ") показывает схему системы с блоками и стрелками, а также разработчика, работающего с ноутбуком на фоне этой схемы, что символизирует системный подход. Между двумя частями расположен большой зеленый стрелочный указатель, показывающий переход. Внизу слайда расположен текстовый блок с ключевыми выводами и информацией о компании.
