# slide-15
# source: VLM caption (slide-15.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 253
# latency_s: 4.90
# est_cost_usd: 0.00029790
1.  **Текст на слайде:**
    *   Заголовок: "Дорожная карта AI-first трансформации: 5 ступеней"
    *   Этапы (снизу вверх):
        *   "Первые шаги — кругозор"
        *   "Свой рой агентов — система"
        *   "Масштабирование — команда"
        *   "Запуск продуктов — vibe coding"
        *   "Промышленный уровень — production"
    *   Подпись внизу слева: "LLMSTART.RU"
    *   Номер слайда внизу справа: "15"

2.  **Числа и проценты:**
    *   5
    *   15

3.  **Визуальная структура:**
    Слайд представляет собой схему в виде ступеней, ведущих вверх, иллюстрирующую дорожную карту трансформации. Каждый этап представлен отдельной ступенью с текстовым описанием. Вверху схемы изображен стилизованный сервер с логотипом AI. Внизу слева находится логотип или название сайта, а внизу справа — номер слайда.
