# slide-26
# source: VLM caption (slide-26.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 342
# latency_s: 6.23
# est_cost_usd: 0.00033350
1.  **Текст на слайде:**
    *   Заголовок: Итог Ступеней 1+2
    *   Подзаголовок: Что умеете теперь
    *   Подзаголовок: Форматы программы
    *   Элемент 1: Текст и контент
    *   Элемент 2: Работа с данными
    *   Элемент 3: Пайплайны без кода
    *   Элемент 4: Безопасность
    *   Элемент 5: C-Level • топ-менеджмент
    *   Элемент 6: Команды и отделы
    *   Элемент 7: Корпоративный кастом
    *   Нижний колонтитул: LLMSTART.RU
    *   Нижний колонтитул: Ilmstart.ru/b2b
    *   Номер страницы: 26

2.  **Числа и проценты:**
    *   1+2
    *   26

3.  **Визуальная структура:**
    Слайд представляет собой структуру из двух колонок с подзаголовками. Левая колонка ("Что умеете теперь") содержит четыре блока с иконками и текстовыми описаниями, расположенных в два ряда по два блока. Правая колонка ("Форматы программы") содержит три блока с иконками и текстовыми описаниями, расположенных вертикально. Внизу слайда расположен нижний колонтитул с адресом сайта и номером страницы.
