# slide-22
# source: VLM caption (slide-22.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 277
# latency_s: 5.88
# est_cost_usd: 0.00030750
1.  **Текст на слайде:**
    *   Заголовок: Делегируй рутину — фокусируйся на главном
    *   Подзаголовок: Правило 10х: если задача не умножает бизнес — её делает ИИ
    *   Подписи к элементам на левой стороне: Форматирование, Отчёты, Рассылки, Сводки, Сам
    *   Подписи к элементам на правой стороне: ИИ
    *   Подписи внизу слайда: Редактор, Аналитик, Менеджер
    *   Текст внизу слева: LLMSTART.RU
    *   Номер страницы: 22

2.  **Числа и проценты:**
    *   10х
    *   22

3.  **Визуальная структура:**
    Слайд представляет собой иллюстрацию, разделенную вертикальной зеленой линией на две части. Левая часть изображает человека, заваленного стопками бумаг, символизирующего рутинную работу. Правая часть показывает робота и человека, символизирующих делегирование задач ИИ и фокусировку на главном. Внизу слайда расположены три прямоугольные области с иконками и названиями ролей.
