# slide-33
# source: VLM caption (slide-33.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 346
# latency_s: 4.96
# est_cost_usd: 0.00033510
1.  **Текст на слайде:**
    *   Заголовок: Кейс: Al-стратегия коммерческого банка на 3 года
    *   Подпись: Коммерческий банк
    *   Метки уровня важности: HIGH, MEDIUM
    *   Названия блоков: Клиентский сервис, Операции, Аналитика данных, Безопасность
    *   Центральный элемент: БАНК (с изображением здания банка)
    *   Подписи к дорожной карте: Roadmap: 3 года · 3 пилота для апробации (дважды)
    *   Нижний заголовок: Локальные модели = безопасность + управляемая экономика
    *   Нижняя подпись: LLMSTART.RU
    *   Нижняя подпись: Коммерческий банк
    *   Номер страницы: 33

2.  **Числа и проценты:**
    *   3 года
    *   3 пилота
    *   33

3.  **Визуальная структура:**
    Слайд представляет собой схему, где центральный элемент "БАНК" связан стрелками с четырьмя другими блоками: "Клиентский сервис", "Операции", "Аналитика данных" и "Безопасность". Над некоторыми блоками указан уровень важности (HIGH, MEDIUM). Внизу слайда расположена формула, связывающая "Локальные модели" с "безопасностью" и "управляемой экономикой". Также присутствуют текстовые подписи и номер страницы.
