# slide-59
# source: VLM caption (slide-59.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 178
# latency_s: 3.98
# est_cost_usd: 0.00026790
1.  **Весь видимый текст:**
    *   Заголовок: «ИИ-агенты»
    *   Подзаголовок: Путь от воркфлоу к автономным агентам
    *   Подписи к элементам: Ассистент: отвечает, Агент: действует
    *   Нижний колонтитул: LLMSTART.RU
    *   Номер страницы: 59

2.  **Числа и проценты:**
    *   59

3.  **Визуальная структура:**
    Слайд представляет собой иллюстрацию с текстом. В центре изображены четыре робота, движущиеся слева направо, каждый из которых символизирует определенный этап или функцию. Внизу слайда расположены текстовые пояснения и логотип сайта.
