# slide-23
# source: VLM caption (slide-23.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 386
# latency_s: 4.42
# est_cost_usd: 0.00035110
1.  **Весь видимый текст:**
    *   Безопасность корпоративного ИИ
    *   Cursor
    *   LM Studio
    *   What to you question. ntkypped in this question?
    *   Answer
    *   Гкомерое иниселение спрошение свиаикадиого досоток е холтетоилениеке покрокироветния неопипанафисаж, и пеоненна хепсселонные стрестаєни. Чеотого задистонбелющиеся едрежени пейожєнко паностенгрцястеопсипо-озилонется, ксенет овдернога хоолнелки, 17
    *   Source:
    *   hnpa//oourc...
    *   https://pollxwwas
    *   Type a message
    *   Регламенты / NDA / Договоры
    *   Регламенты → точный ответ со ссылками
    *   Данные не покидают ноутбук
    *   NDA оффлайн
    *   100% Privacy
    *   Offline mode
    *   LLMSTART.RU
    *   23

2.  **Все числа и проценты:**
    *   100%

3.  **Визуальная структура:**
    Слайд разделен на две основные вертикальные секции. Левая секция содержит изображение ноутбука с интерфейсом чат-бота, отображающего документ и ответ со ссылками, а также текстовые описания. Правая секция содержит изображение замка и текстовые описания, связанные с конфиденциальностью данных. Внизу слайда расположен логотип и номер страницы.
