# slide-45
# source: VLM caption (slide-45.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 438
# latency_s: 4.35
# est_cost_usd: 0.00037190
1.  **Весь видимый текст:**
    *   **Заголовок:** КЕЙСЫ ВЫПУСКНИКОВ: БИЗНЕС-ИНСТРУМЕНТЫ
    *   **Блок 1:**
        *   Умный помощник по задачам
        *   Product Manager
        *   Распределяет задачи по приоритетам
        *   1 день разработки
    *   **Блок 2:**
        *   Декомпозитор ТЗ
        *   ВА / Аналитик
        *   Разбивает требования на истории
        *   Неделя до MVP
    *   **Блок 3:**
        *   Помощник ІТ-поддержки
        *   QA Engineer
        *   Отвечает на типовые запросы
    *   **Блок 4:**
        *   Анализ договоров
        *   Адвокат
        *   Выявляет риски в документах
    *   **Блок 5:**
        *   AI-команда контент-пайплайна
        *   Маркетолог
        *   Автоматизирует создание контента
    *   **Блок 6:**
        *   Поиск по данным на языке
        *   Аналитик
        *   NL-запросы к корпоративным данным
    *   **Нижний колонтитул:** LLMSTART.RU · Кейсы выпускников
    *   **Номер страницы:** 45

2.  **Числа и проценты:**
    *   1 день разработки
    *   Неделя до MVP
    *   45

3.  **Визуальная структура:**
    Слайд представляет собой сетку из шести карточек, каждая из которых описывает отдельный бизнес-инструмент или кейс. В верхней части слайда расположен общий заголовок. Внизу слайда находится нижний колонтитул с названием сайта и номером страницы.
