# slide-60
# source: VLM caption (slide-60.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 395
# latency_s: 8.16
# est_cost_usd: 0.00035470
1.  **Текст на слайде:**
    *   Заголовок: «Корпоративный ИИ-бот для сотрудников РЖД»
    *   Подзаголовок: 100 000+ новых сотрудников в год
    *   Крупный текст: 150 000+
    *   Подпись к крупному тексту: сотрудников 24/7
    *   Крупный текст: 3 500+
    *   Подпись к крупному тексту: HR экономят время
    *   Крупный текст: -35%
    *   Подпись к крупному тексту: типовых обращений
    *   Текст в зеленых блоках: Мои льготы, График работы, Ответ за 1 сек
    *   Нижний колонтитул: LLMSTART.RU · РЖД
    *   Цифра в круге: 60

2.  **Числа и проценты:**
    *   100 000+
    *   150 000+
    *   24/7
    *   3 500+
    *   -35%
    *   1 сек
    *   60

3.  **Визуальная структура:**
    Слайд представляет собой комбинацию текстовой информации, представленной в виде блоков с крупными числами и подписями, и иллюстрации. Иллюстрация изображает сотрудника в форме, держащего смартфон, с исходящими от него лучами, соединяющимися с зелеными блоками, содержащими текст, и фоном с поездом и другими сотрудниками. Слева расположены блоки с ключевыми показателями, справа – иллюстрация с интерактивными элементами.
