# slide-49
# source: VLM caption (slide-49.png)
# model: google/gemini-2.5-flash-lite
# prompt_tokens: 1967
# completion_tokens: 270
# latency_s: 6.16
# est_cost_usd: 0.00030470
1.  **Весь видимый текст:**
    *   Ловушка пилота
    *   88%
    *   компаний не вышли
    *   за рамки пилота
    *   ПИЛОТ
    *   Системный выход:
    *   Перестройка
    *   воркфлоу
    *   Политики
    *   использования
    *   ИИ
    *   Контроль
    *   качества
    *   Надёжность
    *   и безопасность
    *   PRODUCTION
    *   LLMSTART.RU | McKinsey, The State of AI, 2025
    *   49

2.  **Числа и проценты:**
    *   88%
    *   2025
    *   49

3.  **Визуальная структура:**
    Слайд содержит крупный процентный показатель с поясняющим текстом, иллюстрацию стены, разделяющей группу людей и надпись "PRODUCTION", а также блок с перечислением пунктов "Системный выход" с соответствующими иконками. Внизу слайда расположена информация об источнике и году.
